index,id,artist,asciiName,availability,borderColor,cardKingdomFoilId,cardKingdomId,colorIdentity,colorIndicator,colors,convertedManaCost,duelDeck,edhrecRank,faceConvertedManaCost,faceName,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isOnlineOnly,isOversized,isPromo,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,layout,leadershipSkills,life,loyalty,manaCost,mcmId,mcmMetaId,mtgArenaId,mtgjsonV4Id,mtgoFoilId,mtgoId,multiverseId,name,number,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,purchaseUrls,rarity,scryfallId,scryfallIllustrationId,scryfallOracleId,setCode,side,subtypes,supertypes,tcgplayerProductId,text,toughness,type,types,uuid,variations,watermark
0,1,Pete Venters,,"mtgo,paper",black,,122719,W,,W,7,,16035,,,,,,2003,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,First strike,normal,,,,{5}{W}{W},16165,156,,ad41be73-582f-58ed-abd4-a88c1f616ac3,27501,27500,130550,Ancestor's Chosen,1,,"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen comes into play, you gain 1 life for each card in your graveyard.",Creature - Human Cleric,,4,"10E,JUD,UMA",,"{'cardKingdom': 'https://mtgjson.com/links/9fb51af0ad6f0736', 'cardmarket': 'https://mtgjson.com/links/ace8861194ee0b6a', 'tcgplayer': 'https://mtgjson.com/links/4843cea124a0d515'}",uncommon,7a5cd03c-4227-4551-aa4b-7d119f0468b5,be2f7173-c8b7-4172-a388-9b2c6b3c16e5,fc2ccab7-cab1-4463-b73d-898070136d74,10E,,"Human,Cleric",,15032,"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.",4,Creature — Human Cleric,Creature,5f8287b1-5bb6-5f4c-ad17-316a40d5bb0c,b7c19924-b4bf-56fc-aa73-f586e940bd42,
1,2,Volkan Baǵa,,"mtgo,paper",black,,122720,W,,W,5,,13650,,,,Every tear shed is a drop of immortality.,,2003,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Flying,normal,,,,{4}{W},16166,176,,9eb2e54c-a12b-5e88-a9c0-d8c84c52d59c,26993,26992,129465,Angel of Mercy,2,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Angel of Mercy comes into play, you gain 3 life.",Creature - Angel,,3,"10E,8ED,9ED,DDC,DVD,IMA,INV,JMP,MB1,P02,PS11,PSAL,S99",,"{'cardKingdom': 'https://mtgjson.com/links/027095d094e58f5b', 'cardmarket': 'https://mtgjson.com/links/f6fb5098e1cd1b1e', 'tcgplayer': 'https://mtgjson.com/links/56c4b57293f350ef'}",uncommon,8f7980d4-da43-4d6d-ad16-14b8a34ae91d,e4d6c53f-e936-4be8-8b70-47c2be863b20,a2daaf32-dbfe-4618-892e-0da24f63a44a,10E,,Angel,,15033,"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",3,Creature — Angel,Creature,57aaebc1-850c-503d-9f6e-bb8d00d8bf7c,8fd4e2eb-3eb4-50ea-856b-ef638fa47f8a,
2,3,Justin Sweet,,"mtgo,paper",black,,122725,W,,W,4,,12164,,,,,,2003,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Flying,normal,,,,{3}{W},16171,368,,c0de6fd8-367a-50fb-b2f4-2b8fa5aeb7d9,27473,27472,129470,Aven Cloudchaser,7,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser comes into play, destroy target enchantment.",Creature - Bird Soldier,,2,"10E,8ED,9ED,ODY",,"{'cardKingdom': 'https://mtgjson.com/links/9246105d88032a9f', 'cardmarket': 'https://mtgjson.com/links/dcdfe48e6a8f9e1e', 'tcgplayer': 'https://mtgjson.com/links/3ce595aabe276f80'}",common,407110e9-19af-4ff5-97b2-c03225031a73,2eb663cd-020a-46d8-a6d9-bb63d4b5c848,48bda7dd-d023-41e8-8c28-e0cfda0d07ca,10E,,"Bird,Soldier",,15045,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser enters the battlefield, destroy target enchantment.",2,Creature — Bird Soldier,Creature,8ac972b5-9f6e-5cc8-91c3-b9a40a98232e,6adaf14d-43e3-521a-adf1-960c808e5b1a,
3,4,Matthew D. Wilson,,"mtgo,paper",black,123094,122726,W,,W,4,,13627,,,,The perfect antidote for a tightly packed formation.,,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{3}{W},16172,423,,bfbb65b1-f1bb-5355-9495-fb094f9b0782,27327,27326,129477,Ballista Squad,8,,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.",Creature - Human Rebel,,2,"10E,9ED,MMQ",,"{'cardKingdom': 'https://mtgjson.com/links/d702da7661073a13', 'cardKingdomFoil': 'https://mtgjson.com/links/fbb773ed07f117ac', 'cardmarket': 'https://mtgjson.com/links/f04d4a0c97f986fe', 'tcgplayer': 'https://mtgjson.com/links/1e6874adc6cbd28f'}",uncommon,a4d17394-b9c4-43f6-9a6d-2c7c7ecb1d74,8464353d-099c-47ba-a0eb-e08b7b76b464,5973725c-6e1f-4d7e-bcef-3d867ea4c244,10E,,"Human,Rebel",,15048,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.",2,Creature — Human Rebel,Creature,a69b404f-144a-5317-b10e-7d9dce135b24,,
4,5,Rebecca Guay,,"mtgo,paper",black,123095,122727,W,,W,1,,4415,,,,"Life is measured in inches. To a healer, every one of those inches is precious.",,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{W},16173,432,,a634f6df-fd74-54d9-a56c-3fdd2ad3e9bf,27095,27094,132106,Bandage,9,,"Prevent the next 1 damage that would be dealt to target creature or player this turn.
Draw a card.",Instant,,,"10E,STH,TPR",,"{'cardKingdom': 'https://mtgjson.com/links/a072a876146b29bc', 'cardKingdomFoil': 'https://mtgjson.com/links/30995197ba8fc8c1', 'cardmarket': 'https://mtgjson.com/links/35a66170a09a59c7', 'tcgplayer': 'https://mtgjson.com/links/d091fd8b400df945'}",common,c9c17e3b-4d7f-4472-afe1-8e9358b82f2c,af3d1d9e-8a04-4ba5-aa96-9ea678daaa2b,c664df64-0103-462b-a0f8-c483b152974a,10E,,,,15049,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card.",,Instant,Instant,6d268c95-c176-5766-9a46-c14f739aba1c,,
5,6,Rob Alexander,,"mtgo,paper",black,123096,122728,W,,W,6,,2873,,,,The cave floods with light. A thousand rays shine forth and meld into one.,,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{5}{W},16174,499,,43f8222f-3fd5-5491-9e76-5b1cc9a86e93,27622,27621,130553,Beacon of Immortality,10,,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,Instant,,,"10E,5DN,E02,MB1",,"{'cardKingdom': 'https://mtgjson.com/links/641aecf0d3150e1f', 'cardKingdomFoil': 'https://mtgjson.com/links/8aaf9f7f17f79315', 'cardmarket': 'https://mtgjson.com/links/8919bf4f1f651197', 'tcgplayer': 'https://mtgjson.com/links/04830bb89a273674'}",rare,f0b9b5da-d3fa-4d70-a71a-a2342dbfd527,e314cc4f-55dc-48c5-abb3-2aa78e940020,bfcdf563-c6e5-4a54-bb63-4aba219b94e2,10E,,,,15052,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,,Instant,Instant,56f4935b-f6c5-59b9-88bf-9bcce20247ce,,
6,7,Zoltan Boros & Gabor Szikszai,,"mtgo,paper",black,,122729,W,,W,3,,13894,,,,"""We called them 'armored lightning.'""
—Gerrard of the *Weatherlight*",,2003,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"First strike,Flash",normal,,,,{2}{W},16175,520,,1c5f900e-982d-5c65-89fd-46dd4db76716,27217,27216,136279,Benalish Knight,11,,"Flash (You may play this spell any time you could play an instant.)
First strike (This creature deals combat damage before creatures without first strike.)",Creature - Human Knight,,2,"10E,ATH,WTH",,"{'cardKingdom': 'https://mtgjson.com/links/d9c713a9894e9d63', 'cardmarket': 'https://mtgjson.com/links/654c1a3a20333a30', 'tcgplayer': 'https://mtgjson.com/links/2fbe5cd35119ca23'}",common,d0ae60d0-20d3-452c-9953-e229567c06f5,52e78c38-9de7-465b-9ef6-db8b4c857409,32b401e9-163f-4917-a728-fc63b25ef602,10E,,"Human,Knight",,15054,"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)",2,Creature — Human Knight,Creature,62365fbb-af07-5c2a-976d-e3092bdfc317,0d2a4e1d-cc12-5675-8044-9a7bc7d60050,
7,8,Zoltan Boros & Gabor Szikszai,,"mtgo,paper",black,123097,,W,,W,3,,13894,,,,"""We called them 'armored lightning.'""
—Gerrard of the *Weatherlight*",,2003,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,"First strike,Flash",normal,,,,{2}{W},16175,520,,50eac642-2fda-5f35-a5fc-6f6e10c3ee85,,,,Benalish Knight,11★,,,,,2,"10E,ATH,WTH",,"{'cardKingdomFoil': 'https://mtgjson.com/links/f1e4d8ed22a75d81', 'cardmarket': 'https://mtgjson.com/links/e29a1f7888edb9c9', 'tcgplayer': 'https://mtgjson.com/links/2f94fec978473fbf'}",common,bccebfdd-85cb-4549-93a4-c0dcd667ee04,52e78c38-9de7-465b-9ef6-db8b4c857409,32b401e9-163f-4917-a728-fc63b25ef602,10E,,"Human,Knight",,15054,"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)",2,Creature — Human Knight,Creature,0d2a4e1d-cc12-5675-8044-9a7bc7d60050,62365fbb-af07-5c2a-976d-e3092bdfc317,
8,9,Steven Belledin,,"mtgo,paper",black,123098,122730,W,,W,4,,10625,,,,"""Mercadia's masks can no longer hide the truth. Our day has come at last.""",,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,"{'brawl': False, 'commander': True, 'oathbreaker': False}",,,{2}{W}{W},16176,971,,8f6bfe34-f704-5ac8-a025-921a0276bb54,27187,27186,130554,"Cho-Manno, Revolutionary",12,,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.",Legendary Creature - Human Rebel,,2,"10E,MMQ,PS11",,"{'cardKingdom': 'https://mtgjson.com/links/8b23ca3e6a53519c', 'cardKingdomFoil': 'https://mtgjson.com/links/5fa521ab3f994840', 'cardmarket': 'https://mtgjson.com/links/b1acf2fb171a5d2e', 'tcgplayer': 'https://mtgjson.com/links/be0135925ca66ebf'}",rare,fe04dfe7-6376-4c12-9404-0e1ae0942917,443c01cf-c337-4b68-9a0a-cd39a3e103f5,91af5e35-b3b8-43ce-b1ea-997ed74e4ad2,10E,,"Human,Rebel",Legendary,15070,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.",2,Legendary Creature — Human Rebel,Creature,81daea6a-2735-5a46-a2da-b65a2ad5738f,,
9,10,Daren Bader,,"mtgo,paper",black,123099,122731,W,,W,1,,2046,,,,"""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""
—Alovnek, Boros guildmage",,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{W},16177,7562,,42b053db-3d18-5e1a-b4c8-c39233ad9afe,27740,27739,130528,Condemn,13,,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,Instant,,,"10E,C14,C17,CMR,DDL,DIS,M11,P07,PRM,PS11,TD0,TD2,ZNC",,"{'cardKingdom': 'https://mtgjson.com/links/d17930d5637c1e89', 'cardKingdomFoil': 'https://mtgjson.com/links/7e0b1c1e656fc86d', 'cardmarket': 'https://mtgjson.com/links/af7c4f7223ac32ec', 'tcgplayer': 'https://mtgjson.com/links/7f98bb25bbd3aba2'}",uncommon,ea9edff0-58a8-405d-9f2e-39f8269bbcb2,57c58043-4790-4852-82e3-09efb42d7803,377d31b5-0a48-4d5b-91bd-b5a62d4f7899,10E,,,,15081,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,,Instant,Instant,7fef665c-36a1-5f7a-9299-cf8938708710,,
